Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP
2025-02-18 16:57:53.376335 +0000 UTC,192.168.0.3,53040,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,6000,263833,777000,309306,76000,394250,768000,304206,1583000,1583000,1583000,1583000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,149000,0
2025-02-18 16:57:53.37272 +0000 UTC,192.168.0.3,52808,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,7000,866500,4439000,1757557,248000,1298000,4231000,1956339,5199000,5199000,5199000,5199000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,26000,0
2025-02-18 16:57:53.371926 +0000 UTC,192.168.0.3,52664,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,17000,1066000,3518000,1532679,116000,1596000,3531000,1673663,6396000,6396000,6396000,6396000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,27000,0
2025-02-18 16:57:53.375852 +0000 UTC,192.168.0.3,53014,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,6000,428166,1900000,728804,181000,640250,1892000,835258,2569000,2569000,2569000,2569000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,93000,0
2025-02-18 16:57:53.372435 +0000 UTC,192.168.0.3,52762,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,9000,1008166,3028000,1389601,214000,1510750,3017000,1486214,6049000,6049000,6049000,6049000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,39000,0
2025-02-18 16:57:53.375971 +0000 UTC,192.168.0.3,53016,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,12000,435000,1769000,698696,62000,650500,1762000,788545,2610000,2610000,2610000,2610000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,119000,0
2025-02-18 16:57:53.37541 +0000 UTC,192.168.0.3,52998,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,6000,529000,2838000,1132442,61000,791750,2830000,1359388,3174000,3174000,3174000,3174000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,177000,0
2025-02-18 16:57:53.375233 +0000 UTC,192.168.0.3,52996,192.168.0.5,80,6,6,474,6,815,52,79,206,62,52,135,314,127,7000,675000,1903000,805362,64000,674600,1884000,739010,3376000,3376000,3376000,3376000,0,0,0,0,0,6,474,6,815,1,2,0,0,320,320,42000,0
2025-02-18 16:57:53.372297 +0000 UTC,192.168.0.3,52734,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,6000,1054833,4415000,1720045,158000,1580000,4406000,1951616,6329000,6329000,6329000,6329000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,5000,0
2025-02-18 16:57:53.371873 +0000 UTC,192.168.0.3,52644,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,10000,1143833,3636000,1698574,79000,1713500,3643000,1866712,6863000,6863000,6863000,6863000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,16000,0
2025-02-18 16:57:53.376186 +0000 UTC,192.168.0.3,53030,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,5000,465500,2497000,995636,61000,696500,2488000,1194935,2793000,2793000,2793000,2793000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,215000,0
2025-02-18 16:57:53.372166 +0000 UTC,192.168.0.3,52726,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,12000,1136166,3379000,1665490,112000,1701500,3369000,1828079,6817000,6817000,6817000,6817000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,24000,0
2025-02-18 16:57:53.377481 +0000 UTC,192.168.0.3,53056,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,7000,254833,1250000,489334,23000,380000,1240000,575608,1529000,1529000,1529000,1529000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,1146000,0
2025-02-18 16:57:53.375191 +0000 UTC,192.168.0.3,52980,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,7000,645833,3567000,1432146,43000,967250,3560000,1729021,3875000,3875000,3875000,3875000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,102000,0
2025-02-18 16:57:53.375759 +0000 UTC,192.168.0.3,53008,192.168.0.5,80,6,6,474,6,815,52,79,206,62,52,135,314,127,7000,692400,3163000,1382062,36000,692200,3155000,1377455,3464000,3464000,3464000,3464000,0,0,0,0,0,6,474,6,815,1,2,0,0,320,320,349000,0
