Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,RootIntent,Intent,Target,From
2025-02-16 17:57:10.161593 +0000 UTC,192.168.0.1,32907,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,999726000,999726000,999726000,0,0,0,0,0,3001097000,999726000,333242000,999726000,577192075,1000675000,1000685500,1000696000,14849,1,261,0,0,0,0,0,0,784,0,6088717000,0,Benign,req,wordpress,NA
2025-02-16 17:57:12.604162 +0000 UTC,192.168.0.60,49882,172.18.0.2,80,6,8,569,6,15736,52,71,197,50,52,2622,7292,3634,28000,4156166,22140000,8818647,176000,5776000,21185000,10278279,3492267000,959000,12468500,23978000,16276890,3467330000,3467330000,3467330000,0,4,284,3,7868,1,3,0,0,424,320,3684931000,0,Benign,req,wordpress,NA
2025-02-16 17:57:16.068603 +0000 UTC,192.168.0.60,49896,172.18.0.2,80,6,7,513,5,7630,52,73,193,52,52,1526,7292,3223,47000,5388200,24839000,10880987,213000,8367666,23931000,13483402,3936104000,832000,13470500,26109000,17873538,3909163000,3909163000,3909163000,0,3,256,2,3815,1,2,0,0,372,268,3464441000,0,Benign,req,wordpress,NA
2025-02-16 17:57:19.561213 +0000 UTC,192.168.0.1,54446,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3001406000,0,0,0,0,1000079000,1000468666,1000962000,450535,1,196,0,0,0,0,0,0,784,0,9399620000,0,Benign,req,wordpress,NA
2025-02-16 17:57:19.976141 +0000 UTC,192.168.0.60,56104,172.18.0.2,80,6,7,525,5,7630,52,75,193,52,52,1526,7292,3223,35000,5504000,25349000,11097820,589000,8658666,23558000,12918088,3373758000,775000,13760000,26745000,18363563,3346238000,3346238000,3346238000,0,3,262,2,3815,1,2,0,0,384,268,3907538000,0,Benign,req,wordpress,NA
2025-02-16 17:57:34.910797 +0000 UTC,192.168.0.102,49542,172.18.0.2,80,6,7,525,5,7630,52,75,193,52,52,1526,7292,3223,29000,3572400,15753000,6823657,196000,5327000,14886000,8285795,4718733000,1147000,8931000,16715000,11008238,4700871000,4700871000,4700871000,0,3,262,2,3815,1,2,0,0,384,268,0,0,Benign,req,wordpress,NA
2025-02-16 17:57:39.625104 +0000 UTC,192.168.0.102,49550,172.18.0.2,80,6,6,473,4,705,52,78,205,61,52,176,541,243,35000,899250,1533000,647758,475000,630500,786000,219910,3793252000,810000,1798500,2787000,1397950,3789655000,3789655000,3789655000,0,3,236,2,352,1,1,0,0,320,216,0,0,Benign,req,wordpress,NA
2025-02-16 17:57:40.873425 +0000 UTC,192.168.0.1,44972,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3003264000,0,0,0,0,1000445000,1001088000,1001794000,676703,1,196,0,0,0,0,0,0,784,0,21312212000,0,Benign,req,wordpress,NA
2025-02-16 17:57:53.737984 +0000 UTC,192.168.0.1,43342,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,999872000,999872000,999872000,0,0,0,0,0,3002537000,999872000,333290666,999872000,577276368,1001114000,1001332500,1001551000,309005,1,261,0,0,0,0,0,0,784,0,12864559000,0,Benign,req,wordpress,NA
2025-02-16 17:57:54.954375 +0000 UTC,192.168.0.49,36130,172.18.0.2,80,6,6,473,4,705,52,78,205,61,52,176,541,243,27000,1079250,2258000,943093,1082000,1145500,1209000,89802,4734450000,730000,2158500,3587000,2020204,4730133000,4730133000,4730133000,0,3,236,2,352,1,1,0,0,320,216,0,0,Benign,req,wordpress,NA
